ID,fixed acidity,,volatile acidity,,citric acid,,residual sugar,,chlorides,,free sulfur dioxide,,total sulfur dioxide,,density,,pH,,sulphates,,alcohol,type,location,quality,Predicted Type,,Avg. Alcohol,Avg. Sulphates,Avg. Fixed Acids,Avg. Vol Acids,Avg. Citric Acid,Avg. Res. Sugar,Avg. Chlorides,Avg. Free Sulph,Avg. Tot Sulph,Avg. Density,Avg. pH,,,,,,,,,,
4738,5.1,white,0.42,red,0,red,1.8,red,0.044,white,18,red,88,red,0.99157,white,3.68,red,0.73,red,13.6,red,California,7,red,,,,,,,,,,,,,white,red,red,red,white,red,red,white,red,red
4751,8.5,red,0.49,red,0.11,red,2.3,red,0.084,red,9,red,67,red,0.9968,red,3.17,white,0.53,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
4752,9.2,red,0.41,red,0.5,white,2.5,red,0.055,white,12,red,25,red,0.9952,white,3.34,red,0.79,red,13.3,red,California,7,red,,,,,,,,,,,,,red,red,white,red,white,red,red,white,red,red
4753,8.3,red,0.34,white,0.4,white,2.4,red,0.065,white,24,red,48,red,0.99554,red,3.34,red,0.86,red,11,red,California,6,red,,,,,,,,,,,,,red,white,white,red,white,red,red,red,red,red
4756,7.9,red,0.65,red,0.01,red,2.5,red,0.078,red,17,red,38,red,0.9963,red,3.34,red,0.74,red,11.7,red,California,7,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
4757,9.8,red,0.44,red,0.47,white,2.5,red,0.063,white,9,red,28,red,0.9981,red,3.24,white,0.65,red,10.8,red,California,6,red,,,,,,,,,,,,,red,red,white,red,white,red,red,red,white,red
4758,10,red,0.59,red,0.31,white,2.2,red,0.09,red,26,white,62,red,0.9994,red,3.18,white,0.63,red,10.2,red,California,6,red,,,,,,,,,,,,,red,red,white,red,red,white,red,red,white,red
4760,10.3,red,0.32,white,0.45,white,6.4,white,0.073,red,5,red,13,red,0.9976,red,3.23,white,0.82,red,12.6,red,California,8,red,,,,,,,,,,,,,red,white,white,white,red,red,red,red,white,red
4762,10.2,red,0.54,red,0.37,white,15.4,white,0.214,red,55,white,95,white,1.00369,red,3.18,white,0.77,red,9,red,California,6,red,,,,,,,,,,,,,red,red,white,white,red,white,white,red,white,red
4768,10.9,red,0.21,white,0.49,white,2.8,red,0.088,red,11,red,32,red,0.9972,red,3.22,white,0.68,red,11.7,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
4769,7.7,red,0.67,red,0.23,red,2.1,red,0.088,red,17,red,96,white,0.9962,red,3.32,red,0.48,white,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,white,red,red,white
4770,9,red,0.38,white,0.41,white,2.4,red,0.103,red,6,red,10,red,0.99604,red,3.13,white,0.58,red,11.9,red,California,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
4773,8.6,red,0.47,red,0.27,red,2.3,red,0.055,white,14,red,28,red,0.99516,white,3.18,white,0.8,red,11.2,red,California,5,red,,,,,,,,,,,,,red,red,red,red,white,red,red,white,white,red
4779,7.9,red,0.53,red,0.24,red,2,red,0.072,red,15,red,105,white,0.996,red,3.27,red,0.54,white,9.4,red,Texas,6,red,,,,,,,,,,,,,red,red,red,red,red,red,white,red,red,white
4782,7.6,red,0.54,red,0.13,red,2.5,red,0.097,red,24,red,66,red,0.99785,red,3.39,red,0.61,red,9.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
4783,7.5,white,0.52,red,0.42,white,2.3,red,0.087,red,8,red,38,red,0.9972,red,3.58,red,0.61,red,10.5,red,Texas,6,red,,,,,,,,,,,,,white,red,white,red,red,red,red,red,red,red
4787,8.9,red,0.43,red,0.45,white,1.9,red,0.052,white,6,red,16,red,0.9948,white,3.35,red,0.7,red,12.5,red,California,6,red,,,,,,,,,,,,,red,red,white,red,white,red,red,white,red,red
4795,6.6,white,0.855,red,0.02,red,2.4,red,0.062,white,15,red,23,red,0.99627,red,3.54,red,0.6,red,11,red,California,6,red,,,,,,,,,,,,,white,red,red,red,white,red,red,red,red,red
4796,7.1,white,0.27,white,0.6,white,2.1,red,0.074,red,17,red,25,red,0.99814,red,3.38,red,0.72,red,10.6,red,California,6,red,,,,,,,,,,,,,white,white,white,red,red,red,red,red,red,red
4806,8,red,0.715,red,0.22,red,2.3,red,0.075,red,13,red,81,red,0.99688,red,3.24,white,0.54,white,9.5,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
4808,9.7,red,0.295,white,0.4,white,1.5,red,0.073,red,14,red,21,red,0.99556,red,3.14,white,0.51,white,10.9,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,white
4809,10.9,red,0.53,red,0.49,white,4.6,white,0.118,red,10,red,17,red,1.0002,red,3.07,white,0.56,white,11.7,red,California,6,red,,,,,,,,,,,,,red,red,white,white,red,red,red,red,white,white
4815,8.6,red,0.55,red,0.09,red,3.3,red,0.068,red,8,red,17,red,0.99735,red,3.23,white,0.44,white,10,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
4827,6.2,white,0.51,red,0.14,red,1.9,red,0.056,white,15,red,34,red,0.99396,white,3.48,red,0.57,white,11.5,red,California,6,red,,,,,,,,,,,,,white,red,red,red,white,red,red,white,red,white
4851,7.6,red,0.51,red,0.15,red,2.8,red,0.11,red,33,white,73,red,0.9955,red,3.17,white,0.63,red,10.2,red,Texas,6,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,white,red
4853,7,white,0.6,red,0.12,red,2.2,red,0.083,red,13,red,28,red,0.9966,red,3.52,red,0.62,red,10.2,red,California,7,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
4863,8.3,red,1.02,red,0.02,red,3.4,red,0.084,red,6,red,11,red,0.99892,red,3.48,red,0.49,white,11,red,Texas,3,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
4865,9,red,0.62,red,0.04,red,1.9,red,0.146,red,27,white,90,red,0.9984,red,3.16,white,0.7,red,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,white,red,red,white,red
4866,8.7,red,0.52,red,0.09,red,2.5,red,0.091,red,20,red,49,red,0.9976,red,3.34,red,0.86,red,10.6,red,California,7,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
4868,7.3,white,0.66,red,0,red,2,red,0.084,red,6,red,23,red,0.9983,red,3.61,red,0.96,red,9.9,red,Texas,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
4873,9.9,red,0.49,red,0.58,white,3.5,red,0.094,red,9,red,43,red,1.0004,red,3.29,red,0.58,red,9,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,red,red
4880,8,red,0.31,white,0.45,white,2.1,red,0.216,red,5,red,16,red,0.99358,white,3.15,white,0.81,red,12.5,red,Texas,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,white,white,red
4896,7.4,white,0.6,red,0.26,red,7.3,white,0.07,red,36,white,121,white,0.9982,red,3.37,red,0.49,white,9.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,white,red,white,white,red,red,white
4900,11.3,red,0.34,white,0.45,white,2,red,0.082,red,6,red,15,red,0.9988,red,2.94,white,0.66,red,9.2,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
4903,8.2,red,0.24,white,0.34,white,5.1,white,0.062,white,8,red,22,red,0.9974,red,3.22,white,0.94,red,10.9,red,California,6,red,,,,,,,,,,,,,red,white,white,white,white,red,red,red,white,red
4906,9.8,red,0.98,red,0.32,white,2.3,red,0.078,red,35,white,152,white,0.998,red,3.25,red,0.48,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,white,white,red,red,white
4909,7.5,white,0.58,red,0.14,red,2.2,red,0.077,red,27,white,60,red,0.9963,red,3.28,red,0.59,red,9.8,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,red,red
4910,7.1,white,0.46,red,0.2,red,1.9,red,0.077,red,28,white,54,red,0.9956,red,3.37,red,0.64,red,10.4,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,red,red
4911,6.7,white,0.41,red,0.43,white,2.8,red,0.076,red,22,red,54,red,0.99572,red,3.42,red,1.16,red,10.6,red,California,6,red,,,,,,,,,,,,,white,red,white,red,red,red,red,red,red,red
4922,8.1,red,0.785,red,0.52,white,2,red,0.122,red,37,white,153,white,0.9969,red,3.21,white,0.69,red,9.3,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,white,white,red,white,red
4926,7.4,white,0.785,red,0.19,red,5.2,white,0.094,red,19,red,98,white,0.99713,red,3.16,white,0.52,white,9.6,red,California,6,red,,,,,,,,,,,,,white,red,red,white,red,red,white,red,white,white
4929,11.1,red,0.31,white,0.53,white,2.2,red,0.06,white,3,red,10,red,0.99572,red,3.02,white,0.83,red,10.9,red,California,7,red,,,,,,,,,,,,,red,white,white,red,white,red,red,red,white,red
4934,7.5,white,0.685,red,0.07,red,2.5,red,0.058,white,5,red,9,red,0.99632,red,3.38,red,0.55,white,10.9,red,Texas,4,red,,,,,,,,,,,,,white,red,red,red,white,red,red,red,red,white
4940,8,red,0.38,white,0.44,white,1.9,red,0.098,red,6,red,15,red,0.9956,red,3.3,red,0.64,red,11.4,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
4942,6.2,white,0.44,red,0.39,white,2.5,red,0.077,red,6,red,14,red,0.99555,red,3.51,red,0.69,red,11,red,California,6,red,,,,,,,,,,,,,white,red,white,red,red,red,red,red,red,red
4944,7.5,white,0.52,red,0.4,white,2.2,red,0.06,white,12,red,20,red,0.99474,white,3.26,red,0.64,red,11.8,red,California,6,red,,,,,,,,,,,,,white,red,white,red,white,red,red,white,red,red
4946,9.7,red,0.42,red,0.46,white,2.1,red,0.074,red,5,red,16,red,0.99649,red,3.27,red,0.74,red,12.3,red,California,6,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,red,red
4947,7.5,white,0.6,red,0.32,white,2.7,red,0.103,red,13,red,98,white,0.99938,red,3.45,red,0.62,red,9.5,red,Texas,5,red,,,,,,,,,,,,,white,red,white,red,red,red,white,red,red,red
4949,7.3,white,0.32,white,0.23,red,2.3,red,0.066,white,35,white,70,red,0.99588,red,3.43,red,0.62,red,10.1,red,Texas,5,red,,,,,,,,,,,,,white,white,red,red,white,white,red,red,red,red
4960,7.7,red,0.96,red,0.2,red,2,red,0.047,white,15,red,60,red,0.9955,red,3.36,red,0.44,white,10.9,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,white,red,red,red,red,white
4967,12.3,red,0.39,white,0.63,white,2.3,red,0.091,red,6,red,18,red,1.0004,red,3.16,white,0.49,white,9.5,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,white
4970,7.8,red,0.39,white,0.42,white,2,red,0.086,red,9,red,21,red,0.99526,white,3.39,red,0.66,red,11.6,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,white,red,red
4972,7.3,white,0.735,red,0,red,2.2,red,0.08,red,18,red,28,red,0.99765,red,3.41,red,0.6,red,9.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
4978,7.2,white,0.41,red,0.3,red,2.1,red,0.083,red,35,white,72,red,0.997,red,3.44,red,0.52,white,9.4,red,California,5,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,red,white
4985,8.1,red,0.56,red,0.28,red,1.7,red,0.368,red,16,red,56,red,0.9968,red,3.11,white,1.28,red,9.3,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,red
4992,12,red,0.37,white,0.76,white,4.2,red,0.066,white,7,red,38,red,1.0004,red,3.22,white,0.6,red,13,red,California,7,red,,,,,,,,,,,,,red,white,white,red,white,red,red,red,white,red
4993,6.1,white,0.59,red,0.01,red,2.1,red,0.056,white,5,red,13,red,0.99472,white,3.52,red,0.56,white,11.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,white,red,red,white,red,white
4997,7.9,red,0.2,white,0.35,white,1.7,red,0.054,white,7,red,15,red,0.99458,white,3.32,red,0.8,red,11.9,red,California,7,red,,,,,,,,,,,,,red,white,white,red,white,red,red,white,red,red
4998,8.5,red,0.21,white,0.52,white,1.9,red,0.09,red,9,red,23,red,0.99648,red,3.36,red,0.67,red,10.4,red,California,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
5013,7.7,red,0.965,red,0.1,red,2.1,red,0.112,red,11,red,22,red,0.9963,red,3.26,red,0.5,white,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
5018,7.1,white,0.755,red,0.15,red,1.8,red,0.107,red,20,red,84,red,0.99593,red,3.19,white,0.5,white,9.5,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,white,white
5019,7.5,white,0.42,red,0.31,white,1.6,red,0.08,red,15,red,42,red,0.9978,red,3.31,red,0.64,red,9,red,Texas,5,red,,,,,,,,,,,,,white,red,white,red,red,red,red,red,red,red
5022,7.2,white,0.36,white,0.46,white,2.1,red,0.074,red,24,red,44,red,0.99534,white,3.4,red,0.85,red,11,red,Texas,7,red,,,,,,,,,,,,,white,white,white,red,red,red,red,white,red,red
5028,7.8,red,0.7,red,0.06,red,1.9,red,0.079,red,20,red,35,red,0.99628,red,3.4,red,0.69,red,10.9,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5038,9,red,0.69,red,0,red,2.4,red,0.088,red,19,red,38,red,0.999,red,3.35,red,0.6,red,9.3,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5041,7.7,red,0.6,red,0.06,red,2,red,0.079,red,19,red,41,red,0.99697,red,3.39,red,0.62,red,10.1,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5057,8.2,red,0.635,red,0.1,red,2.1,red,0.073,red,25,red,60,red,0.99638,red,3.29,red,0.75,red,10.9,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5060,8.4,red,0.62,red,0.12,red,1.8,red,0.072,red,38,white,46,red,0.99504,white,3.38,red,0.89,red,11.8,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,white,red,white,red,red
5064,12.3,red,0.39,white,0.63,white,2.3,red,0.091,red,6,red,18,red,1.0004,red,3.16,white,0.49,white,9.5,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,white
5066,7.4,white,0.64,red,0.07,red,1.8,red,0.1,red,8,red,23,red,0.9961,red,3.3,red,0.58,red,9.6,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
5069,7,white,0.43,red,0.36,white,1.6,red,0.089,red,14,red,37,red,0.99615,red,3.34,red,0.56,white,9.2,red,Texas,6,red,,,,,,,,,,,,,white,red,white,red,red,red,red,red,red,white
5071,8.3,red,0.6,red,0.25,red,2.2,red,0.118,red,9,red,38,red,0.99616,red,3.15,white,0.53,white,9.8,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,white
5072,9.3,red,0.36,white,0.39,white,1.5,red,0.08,red,41,white,55,red,0.99652,red,3.47,red,0.73,red,10.9,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,white,red,red,red,red
5081,7.8,red,0.56,red,0.19,red,2,red,0.081,red,17,red,108,white,0.9962,red,3.32,red,0.54,white,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,white,red,red,white
5084,7.2,white,1,red,0,red,3,red,0.102,red,7,red,16,red,0.99586,red,3.43,red,0.46,white,10,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
5100,7.8,red,0.57,red,0.09,red,2.3,red,0.065,white,34,white,45,red,0.99417,white,3.46,red,0.74,red,12.7,red,California,8,red,,,,,,,,,,,,,red,red,red,red,white,white,red,white,red,red
5103,7.7,red,0.58,red,0.1,red,1.8,red,0.102,red,28,white,109,white,0.99565,red,3.08,white,0.49,white,9.8,red,Texas,6,red,,,,,,,,,,,,,red,red,red,red,red,white,white,red,white,white
5110,11.8,red,0.38,white,0.55,white,2.1,red,0.071,red,5,red,19,red,0.9986,red,3.11,white,0.62,red,10.8,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
5111,7.9,red,0.49,red,0.32,white,1.9,red,0.082,red,17,red,144,white,0.9968,red,3.2,white,0.55,white,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,white,red,white,white
5112,8.2,red,0.51,red,0.24,red,2,red,0.079,red,16,red,86,red,0.99764,red,3.34,red,0.64,red,9.5,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5113,6.2,white,0.39,white,0.43,white,2,red,0.071,red,14,red,24,red,0.99428,white,3.45,red,0.87,red,11.2,red,California,7,red,,,,,,,,,,,,,white,white,white,red,red,red,red,white,red,red
5121,10.3,red,0.44,red,0.5,white,4.5,white,0.107,red,5,red,13,red,0.998,red,3.28,red,0.83,red,11.5,red,Texas,5,red,,,,,,,,,,,,,red,red,white,white,red,red,red,red,red,red
5123,10.8,red,0.29,white,0.42,white,1.6,red,0.084,red,19,red,27,red,0.99545,red,3.28,red,0.73,red,11.9,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
5124,8.3,red,0.715,red,0.15,red,1.8,red,0.089,red,10,red,52,red,0.9968,red,3.23,white,0.77,red,9.5,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,white,red
5125,7.9,red,0.54,red,0.34,white,2.5,red,0.076,red,8,red,17,red,0.99235,white,3.2,white,0.72,red,13.1,red,Texas,8,red,,,,,,,,,,,,,red,red,white,red,red,red,red,white,white,red
5127,7.2,white,0.61,red,0.08,red,4,red,0.082,red,26,white,108,white,0.99641,red,3.25,red,0.51,white,9.4,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,white,white,red,red,white
5129,9.1,red,0.21,white,0.37,white,1.6,red,0.067,red,6,red,10,red,0.99552,red,3.23,white,0.58,red,11.1,red,California,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
5130,7.3,white,0.98,red,0.05,red,2.1,red,0.061,white,20,red,49,red,0.99705,red,3.31,red,0.55,white,9.7,red,Texas,3,red,,,,,,,,,,,,,white,red,red,red,white,red,red,red,red,white
5131,10.7,red,0.67,red,0.22,red,2.7,red,0.107,red,17,red,34,red,1.0004,red,3.28,red,0.98,red,9.9,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5135,6.5,white,0.67,red,0,red,4.3,red,0.057,white,11,red,20,red,0.99488,white,3.45,red,0.56,white,11.8,red,Texas,4,red,,,,,,,,,,,,,white,red,red,red,white,red,red,white,red,white
5137,7,white,0.55,red,0.13,red,2.2,red,0.075,red,15,red,35,red,0.9959,red,3.36,red,0.59,red,9.7,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
5145,13.3,red,0.29,white,0.75,white,2.8,red,0.084,red,23,red,43,red,0.9986,red,3.04,white,0.68,red,11.4,red,California,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
5150,10.2,red,0.54,red,0.37,white,15.4,white,0.214,red,55,white,95,white,1.00369,red,3.18,white,0.77,red,9,red,California,6,red,,,,,,,,,,,,,red,red,white,white,red,white,white,red,white,red
5152,8.1,red,0.87,red,0,red,3.3,red,0.096,red,26,white,61,red,1.00025,red,3.6,red,0.72,red,9.8,red,Texas,4,red,,,,,,,,,,,,,red,red,red,red,red,white,red,red,red,red
5153,7.6,red,0.735,red,0.02,red,2.5,red,0.071,red,10,red,14,red,0.99538,red,3.51,red,0.71,red,11.7,red,California,7,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,red
5164,9.8,red,0.25,white,0.49,white,2.7,red,0.088,red,15,red,33,red,0.9982,red,3.42,red,0.9,red,10,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
5166,7.3,white,0.67,red,0.02,red,2.2,red,0.072,red,31,white,92,red,0.99566,red,3.32,red,0.68,red,11.06666667,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,red,red
5176,6.2,white,0.6,red,0.08,red,2,red,0.09,red,32,white,44,red,0.9949,white,3.45,red,0.58,red,10.5,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,white,red,white,red,red
5177,9.3,red,0.27,white,0.41,white,2,red,0.091,red,6,red,16,red,0.998,red,3.28,red,0.7,red,9.7,red,Texas,5,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
5182,8.1,red,0.575,red,0.22,red,2.1,red,0.077,red,12,red,65,red,0.9967,red,3.29,red,0.51,white,9.2,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
5184,7.5,white,0.61,red,0.2,red,1.7,red,0.076,red,36,white,60,red,0.99494,white,3.1,white,0.4,white,9.3,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,white,red,white,white,white
5185,8.8,red,0.47,red,0.49,white,2.9,red,0.085,red,17,red,110,white,0.9982,red,3.29,red,0.6,red,9.8,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,white,red,red,red
5189,8.6,red,0.685,red,0.1,red,1.6,red,0.092,red,3,red,12,red,0.99745,red,3.31,red,0.65,red,9.55,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5190,13.7,red,0.415,red,0.68,white,2.9,red,0.085,red,17,red,43,red,1.0014,red,3.06,white,0.8,red,10,red,California,6,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
5194,7.5,white,0.5,red,0.36,white,6.1,white,0.071,red,17,red,102,white,0.9978,red,3.35,red,0.8,red,10.5,red,Texas,5,red,,,,,,,,,,,,,white,red,white,white,red,red,white,red,red,red
5195,6.8,white,0.49,red,0.22,red,2.3,red,0.071,red,13,red,24,red,0.99438,white,3.41,red,0.83,red,11.3,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,red,red,white,red,red
5198,7.4,white,0.52,red,0.13,red,2.4,red,0.078,red,34,white,61,red,0.99528,white,3.43,red,0.59,red,10.8,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,white,red,white,red,red
5199,7.3,white,0.45,red,0.36,white,5.9,white,0.074,red,12,red,87,red,0.9978,red,3.33,red,0.83,red,10.5,red,Texas,5,red,,,,,,,,,,,,,white,red,white,white,red,red,red,red,red,red
5208,11.2,red,0.28,white,0.56,white,1.9,red,0.075,red,17,red,60,red,0.998,red,3.16,white,0.58,red,9.8,red,Texas,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
5209,8.6,red,0.47,red,0.27,red,2.3,red,0.055,white,14,red,28,red,0.99516,white,3.18,white,0.8,red,11.2,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,white,red,red,white,white,red
5210,7.9,red,0.6,red,0.06,red,1.6,red,0.069,red,15,red,59,red,0.9964,red,3.3,red,0.46,white,9.4,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,white
5211,9.6,red,0.77,red,0.12,red,2.9,red,0.082,red,30,white,74,red,0.99865,red,3.3,red,0.64,red,10.4,red,California,6,red,,,,,,,,,,,,,red,red,red,red,red,white,red,red,red,red
5223,7.4,white,0.29,white,0.38,white,1.7,red,0.062,white,9,red,30,red,0.9968,red,3.41,red,0.53,white,9.5,red,Texas,6,red,,,,,,,,,,,,,white,white,white,red,white,red,red,red,red,white
5225,7.2,white,0.415,red,0.36,white,2,red,0.081,red,13,red,45,red,0.9972,red,3.48,red,0.64,red,9.2,red,Texas,5,red,,,,,,,,,,,,,white,red,white,red,red,red,red,red,red,red
5231,10.4,red,0.41,red,0.55,white,3.2,red,0.076,red,22,red,54,red,0.9996,red,3.15,white,0.89,red,9.9,red,California,6,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
5234,10.6,red,1.025,red,0.43,white,2.8,red,0.08,red,21,red,84,red,0.9985,red,3.06,white,0.57,white,10.1,red,Texas,5,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,white
5239,10.1,red,0.31,white,0.44,white,2.3,red,0.08,red,22,red,46,red,0.9988,red,3.32,red,0.67,red,9.7,red,Texas,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
5247,7.7,red,0.27,white,0.68,white,3.5,red,0.358,red,5,red,10,red,0.9972,red,3.25,red,1.08,red,9.9,red,California,7,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,red,red
5250,10.2,red,0.33,white,0.46,white,1.9,red,0.081,red,6,red,9,red,0.99628,red,3.1,white,0.48,white,10.4,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,white
5259,8.9,red,0.48,red,0.53,white,4,red,0.101,red,3,red,10,red,0.99586,red,3.21,white,0.59,red,12.1,red,California,7,red,,,,,,,,,,,,,red,red,white,red,red,red,red,red,white,red
5264,7.3,white,0.48,red,0.32,white,2.1,red,0.062,white,31,white,54,red,0.99728,red,3.3,red,0.65,red,10,red,California,7,red,,,,,,,,,,,,,white,red,white,red,white,white,red,red,red,red
5265,10.7,red,0.4,white,0.37,white,1.9,red,0.081,red,17,red,29,red,0.99674,red,3.12,white,0.65,red,11.2,red,California,6,red,,,,,,,,,,,,,red,white,white,red,red,red,red,red,white,red
5268,9.5,red,0.39,white,0.41,white,8.9,white,0.069,red,18,red,39,red,0.99859,red,3.29,red,0.81,red,10.9,red,California,7,red,,,,,,,,,,,,,red,white,white,white,red,red,red,red,red,red
5276,9.1,red,0.5,red,0.3,red,1.9,red,0.065,white,8,red,17,red,0.99774,red,3.32,red,0.71,red,10.5,red,California,6,red,,,,,,,,,,,,,red,red,red,red,white,red,red,red,red,red
5296,7.2,white,0.37,white,0.32,white,2,red,0.062,white,15,red,28,red,0.9947,white,3.23,white,0.73,red,11.3,red,California,7,white,,,,,,,,,,,,,white,white,white,red,white,red,red,white,white,red
5300,7.3,white,0.43,red,0.24,red,2.5,red,0.078,red,27,white,67,red,0.99648,red,3.6,red,0.59,red,11.1,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,red,red
5305,7.2,white,0.695,red,0.13,red,2,red,0.076,red,12,red,20,red,0.99546,red,3.29,red,0.54,white,10.1,red,Texas,5,red,,,,,,,,,,,,,white,red,red,red,red,red,red,red,red,white
5306,7.2,white,0.38,white,0.31,white,2,red,0.056,white,15,red,29,red,0.99472,white,3.23,white,0.76,red,11.3,red,California,8,white,,,,,,,,,,,,,white,white,white,red,white,red,red,white,white,red
5307,6.6,white,0.58,red,0,red,2.2,red,0.1,red,50,white,63,red,0.99544,red,3.59,red,0.68,red,11.4,red,California,6,red,,,,,,,,,,,,,white,red,red,red,red,white,red,red,red,red
5310,9.5,red,0.86,red,0.26,red,1.9,red,0.079,red,13,red,28,red,0.99712,red,3.25,red,0.62,red,10,red,Texas,5,red,,,,,,,,,,,,,red,red,red,red,red,red,red,red,red,red
5316,7.2,white,0.725,red,0.05,red,4.65,white,0.086,red,4,red,11,red,0.9962,red,3.41,red,0.39,white,10.9,Red,Texas,5,red,,,,,,,,,,,,,white,red,red,white,red,red,red,red,red,white
5326,8.5,red,0.4,white,0.4,white,6.3,white,0.05,white,3,red,10,red,0.99566,red,3.28,red,0.56,white,12,red,Texas,4,red,,,,,,,,,,,,,red,white,white,white,white,red,red,red,red,white
